word,translation,example
improve,улучшать,I want to improve my English.
confident,уверенный,She feels confident today.
habit,привычка,Reading is a good habit.
goal,цель,My goal is B2 level.
practice,практика,Practice makes progress.
focus,фокусироваться,Focus on one thing.
mistake,ошибка,Mistakes help us learn.
explain,объяснять,Can you explain this rule?
natural,естественный,Your speech sounds natural.
fluency,беглость,Fluency comes with time.
repeat,повторять,Please repeat after me.
sentence,предложение,Make a sentence with goal.
answer,отвечать,Answer in full sentences.
question,вопрос,That is a good question.
listen,слушать,Listen to native speakers daily.
speak,говорить,Speak slowly but clearly.
read,читать,Read short stories in English.
write,писать,Write 5 lines every day.
remember,помнить,I remember this word now.
forget,забывать,Do not forget new phrases.
useful,полезный,This app is very useful.
daily,ежедневно,Daily practice is important.
easy,легкий,This exercise is easy.
difficult,сложный,This sound is difficult for me.
friendly,дружелюбный,She has a friendly smile.
conversation,разговор,Let us have a conversation.
topic,тема,Today's topic is travel.
example,пример,Give me an example.
rule,правило,This grammar rule is simple.
tense,время,We study past tense today.
present,настоящее,Use present simple here.
past,прошлое,I studied yesterday.
future,будущее,I will practice tomorrow.
usually,обычно,I usually wake up at 7.
now,сейчас,I am studying now.
often,часто,I often watch movies in English.
sometimes,иногда,Sometimes I feel shy.
never,никогда,I never skip practice.
always,всегда,He always helps me.
try,пытаться,Try to speak every day.
start,начинать,Let us start with basics.
finish,заканчивать,Finish this exercise first.
check,проверять,Check your spelling.
correct,исправлять,I will correct your mistakes.
sound,звучать,You sound great today.
phrase,фраза,Learn this useful phrase.
meaning,значение,What is the meaning?
progress,прогресс,You are making progress.
consistent,последовательный,Be consistent every day.
review,повторение,Review your cards each evening.
